transaction_id,order_date,customer_id,customer_name,customer_email,customer_city,customer_country,product_id,product_name,category,subcategory,brand,unit_price,quantity,discount_percent,tax_percent,shipping_cost,total_amount,payment_method,currency,sales_channel,salesperson_id,salesperson_name,region,warehouse_id,order_status,delivery_date,customer_rating,return_flag,notes
TX103059,08/09/2023,C39389,Joshua Jones,butlerashley@example.net,Mcculloughfurt,USA,P0186,Primo Facial Care 129,Beauty,Facial Care,Primo,602.76,1,5,23,"9,99",582.61 USD,mobile payment,$,physical store,S023,Ethan Adams,West Coast,NYC-01,returned item,20/08/2023,3,no,N/A
TX117120,2024-04-21,C58916,Ashley Pittman,kristin79@example.org,Higginsstad,united states,P0056,Groveo Microwaves 195,Appliances,Microwaves,Groveo,"2036,74",1,5,23,9.99,1944.89,bank transfer ,$,mobile app,S034,Nathan Maldonado,Southeast,NYC-01,completed,2024-04-22,5,NO,Duplicate order - needs verification
TX101761,08/15/2024,C64053,Maxwell Williams,mcummings@example.net,Heatherside,UNITED STATES,P0159,Kraton Board Games 951,Toys,Board Games,Kraton,"29,49",2,5,23,14.99,71.02,CREDIT CARD,USD,mobile app,S026,Judy Baker,,NYC-01,Completed,16/08/2024,,,Complaint under review
TX106357,31/01/2024,C68341,Alicia Thomas,,Christopherchester,US,P0124,Tessara Bicycles 590,Sports,Bicycles,Tessara,1831.64 USD,10,15,23,9.99,"15578,93",bank transfer ,$,online,S005,Cristian Santos,Mid-Atlantic,DAL-04,Completed,2024-02-03,5,no,Payment system error - fixed manually
TX104009,2024-02-22,C56421,Brooke Patrick,bweeks@example.com,Morrowland,United States,P0061,Primo Jackets 497,Apparel,Jackets,Primo,$2355.65,4,0,23,0,$9422.60,Credit Card,$,online,S036,Jeffrey Chavez,Great Lakes,SEA-05,in progress ,24/02/2024,,no,Customer requested an invoice
TX115986,,C45187,Mary Benson,khale@example.com,Hickmanton,United States,P0101,Elektra Lighting 936,Home & Garden,Lighting,Elektra,$5238.21,1,25,23,0,3928.66,mobile payment,USD,marketplace,S012,Jamie Arnold,West Coast,CHI-03,COMPLETED,06/11/2024,5,NO,Priority order
TX100101,2024-12-16,C10688,Lindsay White,palmerwilliam@example.org,West Laurafort,USA,P0025,Tessara Phone Accessories 506,Electronics,Phone Accessories,Tessara,"2 513,88",2,10,23,$9.99,"4534,97",Credit Card,USD,call center,S031,Rebecca Henderson,Southeast,DAL-04,in progress ,21.12.2024,5,NO,Delayed delivery
TX113218,2024-12-28,C42098,Mark Perez,heathchad@example.org,Elizabethborough,US,P0112,Elektra Decor 951,Home & Garden,Decor,Elektra,3939.34,2,5,23,0,7484.75,mobile payment,usd,online,S028,Stephanie Ross,Southeast,LAX-02,COMPLETED,01/11/2025,5,NO,Complaint under review
TX103150,2023-07-24,C99399,Sandra Walker,hendersonjohn@example.net,Justinside,united states,P0170,Nova Toy Vehicles 929,Toys,Toy Vehicles,Nova,"4996,82",1,0,23,19.99 USD,$5016.81,PayPal,USD,online,S036,Jeffrey Chavez,Mountain West,NYC-01,completed,06/08/2023,,yes,
TX100863,2023-10-21,C17492,Jason Brewer,scottmcintyre@example.com,Malonestad,United States,P0029,Vantia Phone Accessories 602,Electronics,Phone Accessories,Vantia,2871.43,3,10,23,19.99,7772.85,mobile payment,$,call center,S022,Patty Perez,Mountain West,NYC-01,cancelled,"November 3, 2023",5,NO,Delayed delivery
TX106957,2024-11-14,C49139,Angelica Harrison,terri63@example.net,Ericksonview,USA,P0090,Tessara Accessories 239,Apparel,Accessories,Tessara,"923,81",3,5,23,19.99,"2 652,85",cash,usd,online,S015,Dylan Miller,Southeast,DAL-04,pending,2024-11-23,5,NO,no comment
TX106838,21/11/2024,C41499,Robert Cook II,schneidernicholas@example.net,VALDEZSIDE,USA,P0046,Nova Coffee Makers 415,Appliances,Coffee Makers,Nova,"4855,70",1,0,23,"9,99",4865.69,bank transfer ,USD,online,S020,Carla Gray,Great Lakes,NYC-01,cancelled,24/11/2024,1,NO,
TX110201,12/12/2023,C57795,Kyle Welch,omills@example.net,Reginafort,United States,P0086,Sunwood Accessories 550,Apparel ,Accessories,Sunwood,1162.86,1,,23,0,1162.86,cash on delivery,USD ,call center,S040,Brittany Farmer,Mid-Atlantic,NYC-01,returned,19.12.2023,,NO,N/A
TX102377,02/07/2024,C95175,Gary Benson,,Matthewmouth,USA,P0004,Boreo Smartphones 701,Electronics,Smartphones,Boreo,4359.64,2,5,23,14.99,"8298,31",bank transfer,usd,physical store,S024,Tommy Walter,Pacific Northwest,DAL-04,returned item,2024-07-11 00:00:00,,no,
TX101924,2024-05-31,C20589,Robyn Kidd,matthew61@example.net,Charlesport,US,P0166,Kraton Dolls 548,Toys,Dolls,Kraton,1547.52 USD,2,0,23,0,"3,095.04",mobile payment,usd,call center,S006,Connie Lawrence,Southeast,NYC-01,Cancelled,"June 14, 2024",3,NO,
TX117073,17.11.2024,C25572,Ashley Bell,donaldthomas@example.org,East Angela,United States,P0041,Orvex Refrigerators 902,Appliances,Refrigerators,Orvex,3995.74,3,20,23,19.99,9609.77,mobile payment,USD ,marketplace,S029,Zachary Hicks,Midwest,NYC-01,Pending ,"November 30, 2024",5,NO,Customer requested an invoice
TX116932,01/28/2024,C98652,Robert Kim,ethomas@example.net,karenmouth,US,P0155,Sunwood Building Blocks 125,Toys,Building Blocks,Sunwood,"4615,70",1,0,23,14.99,"4630,69",mobile payment,$,physical store,S031,Rebecca Henderson,Midwest,LAX-02,completed,"February 8, 2024",1,NO,
TX115497,2024-03-04,C59672,Ashley Crawford,julie35@example.com,Lake Nicole,United States,P0119,Boreo Gardening 358,Home & Garden,Gardening,Boreo,19.86,4,15,23,0,,credit card,USD,online,S018,Derek Zuniga,,CHI-03,returned,14.03.2024,2,0,
